"uid","namedLocation","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","plotID","subplotID","endDate","boutNumber","samplingProtocolVersion","divDataType","targetTaxaPresent","otherVariablesPresent","taxonID","scientificName","taxonRank","family","nativeStatusCode","identificationQualifier","taxonIDRemarks","morphospeciesID","morphospeciesIDRemarks","identificationReferences","otherVariables","percentCover","heightPlantOver300cm","heightPlantSpecies","remarks","measuredBy","recordedBy"
"efbaea9e-83be-40fd-b9d6-07db1629de00","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32.2.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"standingDead",1,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"7d88f8dc-9756-499a-8db6-df7c8f5ef9ff","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.1.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"litter",88,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"178d3763-2b17-4560-8eff-939de459a862","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.1.1","2015-08-03",1,NA,"plantSpecies","Y","","CYPER","Cyperus sp.","genus","Cyperaceae","UNK",NA,"","",NA,NA,"",2,"N",25,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"f0bca424-1cff-468f-a49a-f27540a58d76","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32.4.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"overstory",40,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"ab9b691c-e624-4e72-be63-9c3ef0bf796d","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.1.1","2015-08-03",1,NA,"plantSpecies","Y","","EUFO3","Eugenia foetida Pers.","species","Myrtaceae","N",NA,"","",NA,NA,"",0.5,"N",13,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"56312a62-9591-401a-8026-dda301c9cc3d","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32.2.1","2015-08-03",1,NA,"plantSpecies","Y","","ARCA20","Argythamnia candicans Sw.","species","Euphorbiaceae","N",NA,"","",NA,NA,"",0.5,"N",62,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"513fa0c6-59d9-4e0b-afad-5efca31c2d01","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32.2.1","2015-08-03",1,NA,"plantSpecies","Y","","EUFO3","Eugenia foetida Pers.","species","Myrtaceae","N",NA,"","",NA,NA,"",50,"Y",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"9fb20aa7-9dd6-4ce8-9e58-1b1b06a40f4b","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32.2.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"litter",92.5,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"1099f5f6-fe42-4fab-b524-daead5f5b8b7","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32.2.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"wood",5,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"1e964a89-d61f-4846-a2c3-b5c747610685","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32.2.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"rock",1.5,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"8e6c2cf4-22e1-4e70-9f8d-449ea49ec2f1","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32.4.1","2015-08-03",1,NA,"plantSpecies","Y","","GUOF","Guaiacum officinale L.","species","Zygophyllaceae","N",NA,"","",NA,NA,"",3,"N",130,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"3d857485-ff83-4e7b-b00e-5f56a4c35c8d","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32.2.1","2015-08-03",1,NA,"plantSpecies","Y","","SIOB","Sideroxylon obovatum Lam.","species","Sapotaceae","N",NA,"","",NA,NA,"",1,"N",195,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"ec0822f7-c3e3-4600-9431-aa3a8aa800c5","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.1.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"rock",3,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"45d3d7da-1dba-4b0f-9b44-b8c9a3a59929","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.3.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"wood",2,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"8427910f-3c2c-4d32-8420-532413fc6031","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.3.1","2015-08-03",1,NA,"plantSpecies","Y","","ARCA20","Argythamnia candicans Sw.","species","Euphorbiaceae","N",NA,"","",NA,NA,"",1,"N",32,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"7a937136-4780-4e40-b73a-879763bafd17","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.1.1","2015-08-03",1,NA,"plantSpecies","Y","","SCFR","Schaefferia frutescens Jacq.","species","Celastraceae","N",NA,"","",NA,NA,"",5,"N",210,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"ee2a6b7d-58d9-43c4-a752-9c4aef6ab21b","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.3.1","2015-08-03",1,NA,"plantSpecies","Y","","AMEL","Amyris elemifera L.","species","Rutaceae","N",NA,"","",NA,NA,"",0.5,"N",46,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"fc5ac1b6-52e1-4ded-9be8-219624fe040b","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.1.1","2015-08-03",1,NA,"plantSpecies","Y","","AMEL","Amyris elemifera L.","species","Rutaceae","N",NA,"","",NA,NA,"",0.5,"N",28,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"a22133b5-ac14-4952-a1f5-80997bfb5ee1","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.3.1","2015-08-03",1,NA,"plantSpecies","Y","","COCCO","Coccoloba sp.","genus","Polygonaceae","N",NA,"","",NA,NA,"",50,"Y",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"f626203a-0acc-4cd0-879e-3af49fa9d4bf","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.3.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"rock",2,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"b274aec9-abbb-435b-93d3-668209b12d7e","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.3.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"overstory",70,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"b30668f2-6a4e-4e71-a85d-45547626e78c","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.1.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"wood",2,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"8747771f-423c-4df1-b2a3-e4860b3571dd","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.1.1","2015-08-03",1,NA,"plantSpecies","Y","","RAAC","Randia aculeata L.","species","Rubiaceae","N",NA,"","",NA,NA,"",0.5,"N",42,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"7413d89a-c231-46c9-97b8-8d142da9f285","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.1.1","2015-08-03",1,NA,"plantSpecies","Y","","ARCA20","Argythamnia candicans Sw.","species","Euphorbiaceae","N",NA,"","",NA,NA,"",0.5,"N",22,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"6996990d-09ba-4b85-b2c3-9e9c7632b0c7","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.1.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"litter",95,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"aa266503-6550-44eb-ab45-54a498b04624","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.3.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"litter",96,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"67950897-47f6-488c-99b8-4a657b739357","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","40.1.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"overstory",40,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"7481508e-76db-4c5f-9edb-62ff1e481688","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","41.4.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"overstory",30,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"113616c3-fb45-4d7d-8022-9caf993fbbf9","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","41.1.1","2015-08-03",1,NA,"plantSpecies","Y","","FABACE","Fabaceae sp.","family","Fabaceae","UNK",NA,"","",NA,NA,"",10,"Y",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"cedeaa83-92dd-4e44-aee9-a3ffdd0e36cf","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","41.4.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"soil",1,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"82248741-d151-4d4e-98e8-59aba65db3b1","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","41.4.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"litter",95,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"a5f5cfda-fad0-4bd3-b702-5114e849d612","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","41.1.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"litter",83,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"2160c922-6e3f-4b18-bb01-8db6db9b172d","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","41.4.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"rock",2,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"18152bc5-6f68-4344-82fd-c9c509bd310f","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","41.1.1","2015-08-03",1,NA,"plantSpecies","Y","","COAR3","Colubrina arborescens (Mill.) Sarg.","species","Rhamnaceae","N",NA,"","",NA,NA,"",5,"N",209,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"f68a1b0a-00d1-4464-a888-1d92ed5abfcc","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","41.1.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"overstory",20,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"03ad32b9-d6b5-4bfa-8a94-47598583d933","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","41.4.1","2015-08-03",1,NA,"plantSpecies","Y","","EUFO3","Eugenia foetida Pers.","species","Myrtaceae","N",NA,"","",NA,NA,"",5,"N",218,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"c342e1a4-2aad-4d1b-964f-72b6e4fd8b35","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","41.4.1","2015-08-03",1,NA,"plantSpecies","Y","","ARCA20","Argythamnia candicans Sw.","species","Euphorbiaceae","N",NA,"","",NA,NA,"",1,"N",42,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"4c6ede1d-8f78-4c79-aad5-9e269233f735","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","41.4.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"wood",2,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"7c9d6603-db76-428f-8a8a-04ff9edb8dcd","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","41.1.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"wood",1,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"10bc629c-6681-4573-b663-91a2b29c1182","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","41.1.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"rock",15,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"efdbfdb4-924b-4624-b989-343256c45ccc","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","41.1.1","2015-08-03",1,NA,"plantSpecies","Y","","ARCA20","Argythamnia candicans Sw.","species","Euphorbiaceae","N",NA,"","",NA,NA,"",2,"N",110,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"610a0723-feaf-43fe-a376-eeba5236db53","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","41.1.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"soil",1,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"1e0a161c-f5d4-4399-bb55-6aeb3ef48034","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.1.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"wood",6,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"15f5bd33-c076-4726-9287-9d79168cfd63","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.4.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"otherNonVascular",1,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"e7d72b06-d21c-4d0e-bb8a-d3caa8cba988","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.1.1","2015-08-03",1,NA,"plantSpecies","Y","","GUOF","Guaiacum officinale L.","species","Zygophyllaceae","N",NA,"","",NA,NA,"",4,"N",140,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"14fa66aa-745d-42af-8e1e-fc22a60edd9b","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.4.1","2015-08-03",1,NA,"plantSpecies","Y","","FABACE","Fabaceae sp.","family","Fabaceae","UNK",NA,"","",NA,NA,"",0.5,"N",26,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"713c9888-caa1-4a2b-a779-a8c9cdc0127d","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.1.1","2015-08-03",1,NA,"plantSpecies","Y","","CROTO","Croton sp.","genus","Euphorbiaceae","N",NA,"Croton glabellus","",NA,NA,"",0.5,"N",24,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"8746b6a1-c491-4762-81a5-c8f3e456afbb","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.1.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"rock",6,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"52f8d51b-b5ac-45aa-a739-9f93ba4105ad","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","32.4.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"wood",6,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
"803bfa9c-dd05-4065-9710-07f56ea41eea","GUAN_043.basePlot.div","D04","GUAN",17.968869,-66.867682,"WGS84",20.1,115.9,0.1,"GUAN_043","31.4.1","2015-08-03",1,NA,"otherVariables","","Y","","","","","",NA,"","",NA,NA,"overstory",50,"",NA,"","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz","VgRfkWGhIvw7Lc3BZsfq46duR9Pzwglz"
